Name,Market Cap
KAP.IL,9743890432
CCJ,12051335168
U-UN.TO,3026830080
UEC,1617430784
PDN.AX,2779533056
YCA.L,835703104
NXE,2693011968
UUUU,1514228736
DNN,1321262464
BOE.AX,1045927936
GLO.TO,758480064
FCU.TO,674700032
ISO.V,540135872
EU.V,571816768
URC.V,478331904
URG,354026208
LOT.AX,463894208
DYL.AX,433661792
BMN.AX,432947520
VMY.AX,341300224
AGE.AX,322560992
PEN.AX,274256416
GXU.V,237139392
UEX.TO,204008256
EL8.AX,207433216
BKY.L,111449248
CUR.V,192263360
LAM.TO,167351680
FSY.TO,160038576
MGA.TO,135037168
FIND.V,99449904
TOE.AX,97433496
API.CN,76449744
SYH.V,85802600
WUC.CN,97432032
CVV.V,58734280
LUR.CN,45819360
